Month,Open,High,Low,Close
September-2005,,,,1025.39,
October-2005,,,,934.15,
November-2005,,,,1044.07,
December-2005,,,,1114.57,
January-2006,,,,1173.05,
February-2006,,,,1222.18,
March-2006,,,,1333.90,
April-2006,,,,1397.72,
May-2006,,,,1225.42,
June-2006,,,,1236.56,
July-2006,,,,1243.38,
August-2006,,,,1358.83,
September-2006,,,,1442.05,
October-2006,,,,1503.37,
November-2006,,,,1576.30,
December-2006,,,,1576.68,
January-2007,,,,1619.58,
February-2007,,,,1488.83,
March-2007,,,,1499.77,
April-2007,,,,1603.22,
May-2007,,,,1687.67,
June-2007,,,,1710.52,
July-2007,,,,1803.06,
August-2007,,,,1773.77,
September-2007,,,,2002.80,
October-2007,,,,2325.41,
November-2007,,,,2289.69,
December-2007,,,,2428.14,
January-2008,,,,2067.71,
February-2008,,,,2074.28,
March-2008,,,,1834.70,
April-2008,,,,2030.89,
May-2008,,,,1925.10,
June-2008,,,,1573.86,
July-2008,,,,1669.19,
August-2008,,,,1697.71,
September-2008,,,,1506.17,
October-2008,,,,1126.86,
November-2008,,,,1047.31,
December-2008,,,,1126.51,
January-2009,,,,1096.87,
February-2009,,,,1034.94,
March-2009,,,,1134.18,
April-2009,,,,1329.86,
May-2009,,,,1717.04,
June-2009,,,,1705.64,
July-2009,,,,1842.53,
August-2009,,,,1852.89,
September-2009,,,,2010.67,
October-2009,,,,1873.43,
November-2009,,,,1996.07,
December-2009,,,,2060.27,
January-2010,,,,1940.02,
February-2010,,,,1950.83,
March-2010,,,,2073.78,
April-2010,,,,2086.58,
May-2010,,,,2011.39,
June-2010,,,,2100.48,
July-2010,,,,2124.36,
August-2010,,,,2141.84,
September-2010,,,,2376.55,
October-2010,,,,2372.62,
November-2010,,,,2302.59,
December-2010,,,,2399.82,
January-2011,,,,2154.11,
February-2011,,,,2089.88,
March-2011,,,,2280.70,
April-2011,,,,2249.27,
May-2011,,,,2176.16,
June-2011,,,,2207.31,
July-2011,,,,2145.04,
August-2011,,,,1961.45,
September-2011,,,,1937.44,
October-2011,,,,2074.44,
November-2011,,,,1882.31,
December-2011,,,,1799.75,
January-2012,,,,2024.50,
February-2012,,,,2100.69,
March-2012,,,,2060.78,
April-2012,,,,2041.53,
May-2012,,,,1917.12,
June-2012,,,,2050.43,
July-2012,,,,2027.46,
August-2012,,,,2037.58,
September-2012,,,,2206.60,
October-2012,,,,2176.65,
November-2012,,,,2276.84,
December-2012,,,,2293.64,
January-2013,,,,2347.16,
February-2013,,,,2213.92,
March-2013,,,,2198.38,
April-2013,,,,2288.62,
May-2013,,,,2307.97,
June-2013,,,,2248.53,
July-2013,,,,2219.90,
August-2013,,,,2122.03,
September-2013,,8559.56,,2227.07,
October-2013,,,,2431.04,
November-2013,,,,2393.96,
December-2013,,,,2440.75,
January-2014,,,,2354.23,
February-2014,,,,2422.96,
March-2014,,,,2594.75,
April-2014,,,,2591.42,
May-2014,,,,2820.20,
June-2014,,,,2972.69,
July-2014,,,,3009.35,
August-2014,,,,3097.29,
September-2014,,,,3092.77,
October-2014,,,,3223.40,
November-2014,,,,3321.05,
December-2014,,,,3204.91,
January-2015,,,,3417.13,
February-2015,,,,3453.19,
March-2015,,,,3300.27,
April-2015,,,,3185.19,
May-2015,,,,3282.20,
June-2015,,,,3243.85,
July-2015,,,,3302.69,
August-2015,,,,3093.38,
September-2015,,,,3071.72,
October-2015,,,,3119.42,
November-2015,,3080.94,,3069.90,
December-2015,3076.48,3084.73,2928.41,3075.27,
January-2016,3073.94,3087.26,2795.91,2912.43,
February-2016,2925.97,2928.10,2637.16,2697.36,
March-2016,2711.14,2996.54,2709.36,2983.97,
April-2016,2981.17,3081.80,2901.20,3026.29,
May-2016,3022.77,3161.03,2961.94,3143.05,
June-2016,3145.76,3205.39,3056.52,3198.88,
July-2016,3205.39,3363.00,3205.39,3346.18,
August-2016,3351.24,3408.56,3298.35,3395.37,
September-2016,3395.73,3466.41,3311.84,3339.17,
October-2016,3355.44,3422.11,3310.16,3361.00,
November-2016,3365.87,3376.45,3070.76,3200.70,
December-2016,3212.90,3220.56,3062.52,3176.06,
January-2017,3185.87,3382.97,3161.68,3337.21,
February-2017,3340.43,3507.23,3328.81,3467.61,
March-2017,3478.05,3593.20,3456.31,3582.29,
April-2017,3595.43,3664.00,3549.72,3639.87,
May-2017,3650.74,3756.91,3625.42,3746.84,
June-2017,3744.95,3787.36,3691.76,3720.62,
July-2017,3746.82,3955.14,3730.74,3939.17,
August-2017,3949.72,3960.66,3788.40,3880.53,
September-2017,3884.79,3984.17,3778.93,3819.58,
October-2017,3848.20,4060.60,3842.19,4043.84,
November-2017,4060.45,4111.54,3949.54,4006.41,
December-2017,4017.83,4132.44,3927.93,4122.99,
January-2018,4125.90,4351.29,4076.10,4292.97,
February-2018,4303.67,4326.42,4002.69,4092.05,
March-2018,4088.80,4105.52,3881.43,3952.04,
April-2018,3961.56,4206.82,3957.68,4199.03,
May-2018,4216.43,4250.01,4054.47,4178.30,
June-2018,4185.31,4240.56,4101.95,4158.60,
July-2018,4170.91,4410.87,4119.35,4406.94,
August-2018,4413.08,4565.82,4362.63,4543.26,
September-2018,4571.19,4573.03,4188.22,4218.38,
October-2018,4222.96,4259.31,3867.52,4022.84,
November-2018,4045.95,4219.24,4010.11,4199.13,
December-2018,4221.76,4259.28,3995.60,4213.11,
January-2019,4223.91,4249.85,4091.76,4181.50,
February-2019,4191.05,4283.24,4071.39,4164.44,
March-2019,4180.23,4480.78,4176.43,4475.93,
April-2019,4496.85,4565.78,4450.64,4512.31,
May-2019,4513.36,4620.39,4260.93,4577.88,
June-2019,4589.06,4645.66,4452.65,4526.35,
July-2019,4542.80,4602.67,4222.23,4271.29,
August-2019,4261.41,4301.95,4088.35,4250.51,
September-2019,4233.12,4503.79,4117.13,4415.21,
October-2019,4434.46,4605.21,4259.73,4580.13,
November-2019,4584.84,4677.76,4543.21,4635.87,
December-2019,4663.24,4718.60,4536.77,4672.50,
January-2020,4683.05,4780.32,4582.80,4602.30,
February-2020,4607.04,4702.55,4283.73,4292.56,
March-2020,4362.20,4386.71,2889.04,3307.13,
April-2020,3313.04,3802.75,3108.76,3794.66,
May-2020,3692.95,3708.39,3401.70,3695.69,
June-2020,3747.61,4070.51,3686.24,3972.19,
July-2020,3983.92,4340.41,3973.25,4255.65,
August-2020,4256.08,4531.13,4188.05,4369.49,
September-2020,4384.11,4467.28,4146.98,4328.01,
October-2020,4365.41,4603.68,4365.41,4456.85,
November-2020,4485.58,5023.13,4427.22,4955.10,
December-2020,4991.71,5370.44,4959.38,5357.31,
January-2021,5362.46,5658.14,5216.26,5231.86,
February-2021,5267.79,5907.85,5241.28,5584.19,
March-2021,5655.62,5883.25,5474.19,5639.38,
April-2021,5681.24,5779.33,5445.18,5631.31,
May-2021,5587.32,6020.36,5551.37,6011.51,
June-2021,6028.20,6147.29,5959.30,6072.08,
July-2021,6089.70,6162.29,5997.75,6096.18,
August-2021,6133.42,6589.91,6125.19,6581.95,
September-2021,6605.82,6889.33,6557.36,6764.30,
October-2021,6741.50,7157.80,6703.58,6787.39,
November-2021,6819.74,7023.51,6468.85,6550.49,
December-2021,6584.29,6810.50,6328.06,6689.09,
January-2022,6700.48,7073.01,6486.28,6688.88,
February-2022,6758.93,6862.61,6235.62,6472.74,
March-2022,6411.41,6769.94,6051.00,6736.05,
April-2022,6737.98,6995.55,6569.54,6665.64,
May-2022,6600.48,6676.60,6098.48,6403.78,
June-2022,6403.85,6481.92,5856.27,6091.42,
July-2022,6076.68,6667.12,5996.92,6661.88,
August-2022,6692.61,7017.51,6660.33,6948.65,
September-2022,6861.97,7084.15,6540.69,6679.25,
October-2022,6678.02,7002.29,6562.70,6996.81,
November-2022,7026.22,7274.23,6976.08,7252.33,
December-2022,7280.87,7299.26,6837.01,7005.80,
January-2023,7013.96,7060.14,6651.89,6753.36,
February-2023,6799.13,6859.22,6520.77,6536.94,
March-2023,6553.24,6733.63,6391.32,6584.08,
April-2023,6602.03,6860.19,6567.88,6850.15,
May-2023,6868.23,7083.55,6847.30,7039.71,
June-2023,7049.93,7284.80,7018.81,7279.87,
July-2023,7293.51,7563.48,7293.51,7497.70,
August-2023,7497.85,7513.85,7302.16,7318.70,
September-2023,7318.46,7674.48,7317.32,7462.57,
October-2023,7461.68,7543.80,7138.08,7247.52,
