Month,Open,High,Low,Close
April-2003,,,,952.27,
May-2003,,,,1153.06,
June-2003,,,,1280.32,
July-2003,,,,1371.58,
August-2003,,,,1577.16,
September-2003,,,,1638.53,
October-2003,,,,1760.38,
November-2003,,,,1981.73,
December-2003,,,,2404.68,
January-2004,,,,2160.00,
February-2004,,,,2116.90,
March-2004,,,,2083.18,
April-2004,,,,2230.19,
May-2004,,,,1897.38,
June-2004,,,,1928.87,
July-2004,,,,2074.97,
August-2004,,,,2208.01,
September-2004,,,,2360.90,
October-2004,,,,2372.97,
November-2004,,,,2651.29,
December-2004,,,,3019.15,
January-2005,,,,2976.79,
February-2005,,,,3124.32,
March-2005,,,,3080.73,
April-2005,,,,3049.65,
May-2005,,,,3263.27,
June-2005,,,,3310.35,
July-2005,,,,3680.92,
August-2005,,,,4064.49,
September-2005,,,,4196.70,
October-2005,,,,3771.56,
November-2005,,,,4175.19,
December-2005,,,,4427.03,
January-2006,,,,4716.53,
February-2006,,,,4789.75,
March-2006,,,,5348.62,
April-2006,,,,5843.29,
May-2006,,,,5052.44,
June-2006,,,,4381.11,
July-2006,,,,4303.28,
August-2006,,,,4798.07,
September-2006,,,,5148.38,
October-2006,,,,5396.13,
November-2006,,,,5721.60,
December-2006,,,,5805.18,
January-2007,,,,6045.10,
February-2007,,,,5508.74,
March-2007,,,,5384.12,
April-2007,,,,5795.72,
May-2007,,,,6222.40,
June-2007,,,,6527.03,
July-2007,,,,6718.08,
August-2007,,,,6608.42,
September-2007,,,,7422.43,
October-2007,,,,8135.21,
November-2007,,,,8553.56,
December-2007,,,,9789.49,
January-2008,,,,7766.62,
February-2008,,,,7680.39,
March-2008,,,,6427.82,
April-2008,,,,7138.74,
May-2008,,,,6760.54,
June-2008,,,,5386.48,
July-2008,,,,5567.37,
August-2008,,,,5742.29,
September-2008,,,,4798.29,
October-2008,,,,3200.02,
November-2008,,,,2885.76,
December-2008,,,,3235.05,
January-2009,,,,2941.47,
February-2009,,,,2758.29,
March-2009,,,,2956.23,
April-2009,,,,3513.86,
May-2009,,,,5056.74,
June-2009,,,,5076.34,
July-2009,,,,5571.02,
August-2009,,,,5882.97,
September-2009,,,,6324.16,
October-2009,,,,6014.30,
November-2009,,,,6415.47,
December-2009,,,,6717.82,
January-2010,,,,6509.80,
February-2010,,,,6397.82,
March-2010,,,,6806.18,
April-2010,,,,7184.78,
May-2010,,,,6834.87,
June-2010,,,,7149.21,
July-2010,,,,7407.91,
August-2010,,,,7596.84,
September-2010,,,,8084.14,
October-2010,,,,8302.56,
November-2010,,,,7764.02,
December-2010,,,,7802.71,
January-2011,,,,6868.35,
February-2011,,,,6373.23,
March-2011,,,,6873.40,
April-2011,,,,7094.26,
May-2011,,,,6910.24,
June-2011,,,,6854.05,
July-2011,,,,6915.31,
August-2011,,,,6273.60,
September-2011,,,,6129.59,
October-2011,,,,6297.99,
November-2011,,,,5627.69,
December-2011,,,,5135.05,
January-2012,,,,5871.70,
February-2012,,,,6386.82,
March-2012,,,,6346.38,
April-2012,,,,6315.85,
May-2012,,,,5907.95,
June-2012,,,,6153.72,
July-2012,,,,6012.28,
August-2012,,,,6005.02,
September-2012,,,,6607.29,
October-2012,,,,6565.99,
November-2012,,,,6901.99,
December-2012,,,,7112.89,
January-2013,,,,6970.88,
February-2013,,,,6302.78,
March-2013,,,,6142.06,
April-2013,,,,6344.04,
May-2013,,,,6389.47,
June-2013,,,,5964.50,
July-2013,,,,5543.13,
August-2013,,,,5300.40,
September-2013,,,,5605.98,
October-2013,,,,6107.35,
November-2013,,,,6325.58,
December-2013,,,,6705.56,
January-2014,,,,6308.05,
February-2014,,,,6500.42,
March-2014,,,,7082.86,
April-2014,,,,7323.46,
May-2014,,,,8467.22,
June-2014,,,,9378.95,
July-2014,,,,9188.19,
August-2014,,,,9298.90,
September-2014,,,,9530.35,
October-2014,,,,9834.60,
November-2014,,,,10270.61,
December-2014,,,,10372.58,
January-2015,,,,10738.59,
February-2015,,,,10810.85,
March-2015,,,,10592.22,
April-2015,10601.53,11175.44,,10416.29,
May-2015,10474.23,10745.74,9983.55,10716.09,
June-2015,10688.59,10757.58,10039.44,10679.99,
July-2015,10704.28,11314.01,10703.46,11273.02,
August-2015,11309.94,11666.24,10103.43,10734.42,
September-2015,10677.75,10809.04,10012.95,10799.20,
October-2015,10848.85,11257.03,10791.74,10974.60,
November-2015,10989.48,11087.40,10601.73,10989.76,
December-2015,11015.59,11152.93,10516.43,11143.08,
January-2016,11151.96,11299.59,9892.36,10417.26,
February-2016,10476.45,10529.87,9389.35,9575.10,
March-2016,9594.04,10641.10,9592.05,10618.95,
April-2016,10631.44,11166.10,10490.55,11042.92,
May-2016,11066.69,11423.33,10879.64,11366.04,
June-2016,11389.00,11733.43,11010.99,11717.22,
July-2016,11751.61,12704.84,11751.22,12661.06,
August-2016,12734.00,13283.94,12398.17,13217.31,
September-2016,13235.66,13525.71,12838.70,13166.68,
October-2016,13191.54,13713.09,13189.36,13473.11,
November-2016,13501.31,13534.12,11718.03,12498.62,
December-2016,12520.71,12565.56,11448.65,12031.34,
January-2017,12073.51,13043.11,12008.69,12857.47,
February-2017,12888.48,13610.20,12836.10,13552.22,
March-2017,13551.87,14109.98,13317.35,14096.65,
April-2017,14142.63,14849.66,14125.80,14798.45,
May-2017,14829.81,15122.77,13995.23,14625.29,
June-2017,14643.29,14942.82,14375.65,14644.48,
July-2017,14687.98,15441.01,14664.73,15389.57,
August-2017,15435.12,15642.07,14484.70,15539.79,
September-2017,15562.98,16183.88,15129.78,15436.01,
October-2017,15516.98,16641.83,15513.29,16587.98,
November-2017,16663.26,17110.66,16278.66,16917.44,
December-2017,16964.52,17851.03,16604.84,17822.40,
January-2018,17878.16,18321.37,17241.93,17364.20,
February-2018,17367.49,17389.19,15776.22,16562.59,
March-2018,16573.71,16646.91,15567.56,15962.59,
April-2018,15982.86,17029.33,15976.85,17012.03,
May-2018,17053.27,17059.37,15564.83,16013.81,
June-2018,16031.69,16249.16,15152.94,15450.90,
July-2018,15535.48,16031.23,14999.74,16013.44,
August-2018,16065.02,16958.08,15925.34,16881.33,
September-2018,16949.14,17017.26,14619.99,14763.20,
October-2018,14762.22,14888.41,13538.62,14612.59,
November-2018,14645.62,15073.54,14644.97,15039.35,
December-2018,15113.58,15601.46,14297.85,15438.45,
January-2019,15454.22,15466.19,14316.21,14560.09,
February-2019,14602.27,14764.48,13784.78,14318.36,
March-2019,14362.84,15500.03,14362.84,15479.62,
April-2019,15516.86,15661.95,14825.43,14889.42,
May-2019,14911.12,15198.27,14003.69,15096.18,
June-2019,15121.56,15328.51,14376.52,14808.34,
July-2019,14837.03,15010.30,13365.52,13643.38,
August-2019,13628.28,13756.88,12914.63,13467.55,
September-2019,13448.03,14643.53,13119.37,14104.13,
October-2019,14162.96,14885.31,13577.04,14864.50,
November-2019,14888.87,15167.09,14577.09,15084.86,
December-2019,15098.63,15107.19,14493.41,14967.83,
January-2020,14981.60,15918.27,14696.26,15462.01,
February-2020,15478.43,15930.78,14495.48,14600.02,
March-2020,14755.45,14938.01,9555.24,10569.93,
April-2020,10649.61,12092.77,10190.41,12013.45,
May-2020,11846.12,11872.24,11047.44,11843.22,
June-2020,11987.49,13459.08,11969.65,13055.28,
July-2020,13073.47,13851.91,12980.47,13759.11,
August-2020,13774.54,15379.16,13705.85,14661.37,
September-2020,14672.27,15157.74,13899.14,14705.17,
October-2020,14797.27,15033.98,14448.89,14904.62,
November-2020,14968.38,16963.64,14884.73,16914.65,
December-2020,17049.40,18017.56,16581.88,17941.43,
January-2021,17974.30,19363.61,17974.30,18082.23,
February-2021,18186.18,20474.12,17962.70,19978.65,
March-2021,20164.46,21085.51,19232.94,20181.31,
April-2021,20315.13,20895.06,19423.05,20312.20,
May-2021,20197.99,21844.75,20064.38,21758.39,
June-2021,21872.08,23045.01,21602.46,22535.95,
July-2021,22599.69,23207.51,22444.27,23087.22,
August-2021,23249.40,23872.83,22272.59,23853.43,
