Age,Gender,Income,Credit Score,Loan Amount,Years at Current Job,Debt-to-Income Ratio,Assets Value,Number of Dependents,Risk Rating
49,Male,72799,688,45713,19,0.154313296,120228,0,Low
57,Female,,690,33835,6,0.148919643,55849,0,Medium
21,Non-binary,55687,600,36623,8,0.362398017,180700,3,Medium
59,Male,26508,622,26541,2,0.454964381,157319,3,Medium
25,Non-binary,49427,766,36528,10,0.143242424,287140,,Low
30,Non-binary,,717,15613,5,0.29598445,,4,Medium
31,Non-binary,45280,672,6553,1,0.378889937,,,Low
18,Male,93678,,,10,0.396635724,246597,1,Low
32,Non-binary,20205,710,,4,0.335964978,227599,0,Low
55,Male,32190,600,29918,5,0.484333305,130507,4,Low
42,Non-binary,116212,707,24771,11,0.114133748,212198,3,Medium
37,Non-binary,78855,718,,17,0.193921289,272522,,Low
60,Female,,686,15497,18,0.328174707,47603,4,High
68,Male,79454,688,43365,15,0.329281544,61967,,Medium
29,Male,119510,,5013,17,0.499721861,50568,,Medium
68,Female,,,42951,6,0.550745935,67070,4,Low
55,Male,70978,706,36970,19,0.266940909,54041,3,Medium
18,Female,102628,654,25442,8,0.161832579,,3,Medium
60,Non-binary,,738,37001,7,0.338970973,53055,,Low
56,Non-binary,21084,702,22039,19,0.231046374,226053,2,Medium
26,Female,51460,,29970,19,0.430232588,252797,1,Medium
22,Non-binary,100169,796,,15,0.174743185,259802,3,Medium
37,Non-binary,,664,34904,12,0.106281464,152686,,Medium
64,Non-binary,118318,702,41029,10,0.228351473,,1,Low
55,Female,61811,641,43859,18,0.199707086,185670,,Low
41,Male,94796,742,,16,0.355808376,129119,2,Low
36,Non-binary,85355,667,18834,8,0.198897711,,4,Medium
41,Male,93133,791,14052,13,0.282850057,82774,0,Low
64,Female,,749,38635,16,0.320230266,,3,Low
64,Male,,636,21086,13,0.460985402,261445,,Low
34,Male,115201,,21315,10,0.243942664,81794,1,Medium
49,Non-binary,109882,,35938,3,0.489437675,237388,,Low
48,Non-binary,46408,632,48403,16,0.185325306,93647,3,Low
69,Non-binary,38065,,15818,8,0.391979313,107451,3,Low
57,Female,,673,16398,8,0.483784345,159119,1,Low
46,Non-binary,,637,6382,2,0.5443904,156010,4,Low
49,Male,117392,685,,12,0.470600519,261093,3,Medium
57,Female,54754,604,11947,13,0.287418594,282006,,High
41,Non-binary,109379,606,5252,16,0.454458037,,2,Low
47,Female,33065,783,6895,2,0.116680916,158428,3,Low
64,Male,,,,16,0.458481351,108664,,Low
35,Female,101496,715,16971,17,0.53378731,271400,1,Medium
35,Female,42787,,14949,19,0.224991083,227655,4,Low
18,Female,,748,14522,14,0.562809958,176629,,Low
21,Male,73952,631,49525,3,0.143644091,32912,0,Low
67,Non-binary,54247,,5011,7,0.344651883,239162,3,Low
49,Male,85689,,,2,0.336009427,232433,0,Medium
30,Female,59593,691,,8,0.424079453,279118,3,Low
28,Non-binary,69237,,46898,12,0.516255497,89494,1,Low
65,Male,77146,796,38386,17,0.323186386,262145,0,Medium
68,Female,59300,,34783,3,0.235760539,270400,,Low
59,Non-binary,82233,,45345,9,0.471530629,208180,1,Low
39,Non-binary,93509,703,16651,5,0.528582348,270036,0,Medium
64,Non-binary,,763,,6,0.302038878,272412,2,Low
69,Non-binary,,721,39416,4,0.418045622,80601,,Medium
29,Male,85164,710,14441,2,0.257828553,64687,1,Medium
47,Male,119747,613,26507,10,0.46492483,221402,,Medium
27,Non-binary,93728,727,,11,0.407184509,203446,1,Low
54,Non-binary,100908,764,,18,0.240809219,250753,3,Medium
67,Male,,608,12657,18,0.465760185,107089,1,Medium
36,Male,29868,635,12521,17,0.350454133,240325,2,Low
36,Female,68776,612,47707,11,0.332396791,68491,0,Low
54,Female,98669,720,19464,2,0.167904091,26571,0,High
19,Non-binary,112545,712,15503,7,0.252172854,194154,0,Low
39,Non-binary,118717,647,10656,12,0.185634504,168504,1,Low
48,Male,,649,38575,3,0.430090518,143440,3,Medium
64,Male,52822,636,37391,12,0.498698763,,,Medium
44,Non-binary,51280,750,22162,11,0.550130495,87579,3,Medium
55,Female,63915,,10084,7,0.362397446,,2,High
34,Female,67046,,11753,12,0.319500175,90851,,Low
65,Male,106526,650,23161,19,0.544867397,98025,4,Low
68,Non-binary,,700,23834,1,0.168123709,147082,4,Low
47,Female,91691,,42140,7,0.568474245,235362,,Medium
20,Male,,692,16283,4,0.466075526,144758,3,Low
36,Non-binary,37105,720,33259,7,0.412777028,294048,2,Medium
62,Female,31063,793,,7,0.143936101,226298,1,Low
35,Female,,,9833,17,0.155495082,131120,2,High
66,Female,,,23993,19,0.150792729,60925,2,Low
50,Non-binary,56108,796,,4,0.111494703,97144,2,High
31,Female,69625,636,15188,19,0.506634373,,0,Low
38,Non-binary,82093,726,20454,5,0.190221959,39434,2,High
39,Female,100015,615,23114,14,0.484642491,85309,0,Low
50,Female,96293,708,21552,3,0.12939421,255942,4,Low
49,Non-binary,30680,,24840,5,0.243023798,101996,,Low
24,Male,,627,,12,0.255696688,147499,3,Low
23,Male,62541,680,,8,0.244546545,,4,Medium
38,Non-binary,48069,670,17841,17,0.157519127,241550,2,Low
28,Female,56895,,,14,0.227617324,128403,2,Low
35,Female,72433,792,5747,4,0.327373935,112076,0,Low
50,Non-binary,,640,47751,10,0.343555167,,3,Medium
56,Female,,734,40516,9,0.378206875,203231,1,Low
22,Non-binary,65266,617,34746,18,0.268944281,40215,4,Low
40,Male,98578,663,8747,1,0.514670637,37396,0,Low
39,Male,90227,770,18079,3,0.518758954,163838,1,Low
31,Non-binary,107081,740,18101,5,0.108793817,25157,2,Low
45,Female,82878,748,17023,19,0.584911257,192705,4,Low
62,Non-binary,46439,645,,6,0.443604125,277288,,Low
34,Non-binary,44085,687,,9,0.448937891,253262,2,Low
19,Male,35817,731,44426,1,0.505459747,20626,1,Low
49,Non-binary,54648,,20427,8,0.121472995,276619,1,Medium
36,Female,65104,699,44260,2,0.337761725,135458,4,Low
43,Male,109698,793,46500,11,0.347851155,159076,,Medium
23,Male,28906,724,24532,3,0.500613651,96640,2,Low
22,Male,104766,764,16117,17,0.211525061,156630,3,Low
41,Female,79556,742,5235,5,0.322356139,247857,0,Low
57,Male,116102,629,31831,16,0.516362513,228018,4,Medium
31,Female,105141,,41006,3,0.162774178,26499,3,Low
58,Non-binary,20947,776,38756,0,0.218403224,91848,4,Low
36,Non-binary,,660,11157,7,0.297577945,,2,Medium
52,Male,32094,634,17612,17,0.549456544,114375,2,Medium
22,Female,67984,,49459,12,0.13482981,174044,3,Medium
55,Non-binary,108177,735,23616,12,0.335284356,165613,2,Medium
44,Female,30295,686,,19,0.252783311,,0,Low
41,Female,96591,722,7260,12,0.584494809,102681,0,Medium
33,Male,,624,47874,13,0.455208343,28057,1,Low
40,Male,83865,663,15896,6,0.358704651,,3,Low
53,Female,51236,718,31196,3,0.168630607,45029,1,Low
18,Non-binary,,651,18653,16,0.49222995,226806,0,High
37,Non-binary,42970,703,,12,0.358687273,,,Medium
36,Non-binary,101863,688,31132,2,0.219403114,149141,3,Low
67,Male,107366,655,20154,9,0.416617868,108345,4,Low
62,Female,101848,699,45635,7,0.591653333,,,High
60,Female,74030,711,9459,19,0.160676888,96641,2,Low
39,Male,56116,636,16578,12,0.313107732,197835,1,Medium
59,Male,103794,,9288,2,0.412109478,195205,,Low
50,Male,79300,697,26963,1,0.216722419,,,Low
64,Male,101855,686,48584,9,0.572524406,138039,3,Low
40,Male,89535,624,12990,6,0.117355071,48187,,Low
18,Non-binary,107329,735,22694,1,0.23280902,71327,4,Low
42,Non-binary,61048,,17631,19,0.266383747,252248,1,Low
39,Non-binary,99622,720,23158,6,0.419813928,65046,4,Low
67,Male,110896,689,11503,9,0.106251703,121360,0,Medium
28,Female,64541,703,20017,1,0.206311988,24856,4,High
53,Non-binary,26613,771,6982,5,0.107198287,56108,2,Low
40,Male,,721,41599,19,0.363903795,234986,,Low
31,Female,50885,669,18293,7,0.258570035,99103,4,Low
48,Male,107050,711,14382,3,0.502107966,142063,1,Medium
20,Non-binary,,713,19353,7,0.554183083,253330,3,Medium
20,Non-binary,91540,760,,16,0.232628264,177884,,Low
22,Male,,632,,1,0.126001223,83144,4,Medium
35,Male,114877,699,46113,6,0.389906857,254153,0,Medium
36,Female,44283,755,42326,7,0.116135309,228890,4,Low
59,Female,60385,743,30961,19,0.383779017,222830,4,Low
28,Male,,618,,14,0.346111901,25885,3,Medium
66,Female,47785,,14137,16,0.369847066,147601,1,Medium
36,Non-binary,69895,680,13132,18,0.593281265,,2,Low
60,Male,61559,623,9038,16,0.530640775,,1,Low
63,Female,40113,722,5044,1,0.496244458,159493,3,Low
43,Female,29797,727,10640,14,0.509303064,89291,4,Low
39,Non-binary,31137,757,7326,9,0.441794267,68848,3,Medium
62,Female,115923,726,37406,17,0.287310878,154178,1,High
39,Male,117661,763,8876,15,0.565118423,,2,Low
22,Female,69738,727,15974,10,0.387483457,238717,1,Low
59,Female,91035,,44865,5,0.427505537,,,Medium
37,Non-binary,76795,645,33454,13,0.508511242,40258,4,Low
58,Male,69029,,39742,12,0.369606846,,4,Low
47,Female,65463,710,,4,0.509355158,230368,4,Low
58,Non-binary,,791,34903,7,0.177489309,236635,3,Low
51,Non-binary,40561,632,42722,3,0.381899834,,,Low
25,Female,23159,634,,11,0.593406902,241024,3,Medium
27,Non-binary,61232,643,46522,6,0.151099075,285561,2,Low
36,Female,108304,675,46461,15,0.134004327,,0,Medium
56,Non-binary,,728,42333,17,0.345462911,,2,Low
34,Female,118679,731,40823,6,0.353951633,63853,,Low
65,Male,89126,643,38741,0,0.131449159,50589,1,High
34,Female,35198,718,,9,0.155828771,222837,,Low
66,Non-binary,104677,784,24588,9,0.304836002,50584,4,Low
30,Non-binary,,699,29559,10,0.181094003,203837,0,Low
59,Female,80047,697,42968,0,0.36146304,,1,Medium
